,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:10:16.340,6.2,-94.2752208977,8.72412750594,1.30969262892,0.211648364221,0.683716965047
2015-09-16 07:10:22.540,3.85,-84.9200076567,9.82250225196,1.16499900818,0.289980281483,0.409445407279
2015-09-16 07:10:26.390,3.94,-89.9944134234,25.2442660429,1.15776800262,0.277777371673,0.511786737167
2015-09-16 07:10:30.330,4.02,-91.8799829003,10.9761429076,1.24656003506,0.337361399807,0.593345243412
2015-09-16 07:10:34.350,4.02,-95.2949154854,7.90664448557,1.3850379346,0.258945677411,0.460086422561
2015-09-16 07:10:38.370,4.02,-100.544624574,16.211102733,1.1634964255,0.330057132303,0.529819694868
2015-09-16 07:10:42.390,3.94,-92.8492178131,13.9261296866,1.50125825466,0.361663193872,0.618559104686
2015-09-16 07:10:46.330,4.02,-96.8523015199,14.8369087425,1.23316838374,0.264548217479,0.506343984962
2015-09-16 07:10:50.350,4.02,-96.9474266989,14.7837061883,1.16928335446,0.366716954245,0.501531934952
2015-09-16 07:10:54.370,4.02,-104.012596109,24.9436360299,1.26305587256,0.327207229624,0.558858221279
2015-09-16 07:10:58.390,5.95,-93.7448811384,9.46690036109,1.34090519753,0.246355353283,0.630169172932
2015-09-16 07:11:04.340,4.03,-101.613085992,19.3589458125,1.23478756945,0.364129123262,0.556683986774
2015-09-16 07:11:08.370,4.01,-98.9174527432,11.9449948661,1.26256193603,0.276032647587,0.495486935867
2015-09-16 07:11:12.380,4.03,-95.1857305498,8.9861005021,1.30015614607,0.305697935687,0.341300191205
2015-09-16 07:11:16.410,3.93,-102.256475254,18.9114155268,1.27330081153,0.382116338376,0.513872135103
2015-09-16 07:11:20.340,4.02,-95.273671699,10.3757081744,1.19016644967,0.409549000251,0.396244818337
2015-09-16 07:11:24.360,4.03,-101.851132803,15.219317146,1.18202666195,0.417852520055,0.559322033898
2015-09-16 07:11:28.390,4.02,-99.9248546415,15.7036557669,1.35431823446,0.377919276555,0.454842767296
2015-09-16 07:11:32.410,3.94,-95.3987283625,8.64445359449,1.41468241735,0.335524439207,0.28990228013
2015-09-16 07:11:36.350,4.02,-103.011422248,26.0775487017,0.979677005787,0.347162301268,0.524062816616
2015-09-16 07:11:40.370,5.53,-97.4418046363,15.4934655212,1.32346041164,0.256042993521,0.767938931298
2015-09-16 07:11:45.900,3.85,-93.1863448997,12.185314483,1.4313812999,0.442587771973,0.310832025118
2015-09-16 07:11:49.750,3.85,-109.494019716,31.1030459178,1.16667896122,0.361148691797,0.728969505783
2015-09-16 07:11:53.600,3.86,-94.9142931921,12.7823208198,1.10233954197,0.287059953176,0.429167753718
2015-09-16 07:11:57.460,3.93,-104.851366409,27.6435359804,1.22501043266,0.395310653075,0.510846560847
2015-09-16 07:12:01.390,3.94,-107.033052457,16.1015171028,1.33909210941,0.256532551673,0.766494705403
2015-09-16 07:12:05.330,4.02,-97.4505951275,16.5161588654,1.15547630917,0.398211307194,0.561077179345
2015-09-16 07:12:09.350,4.02,-99.3707154413,19.5341163226,1.08880486654,0.321935688085,0.386901327178
2015-09-16 07:12:13.370,4.03,-94.6549571901,8.90225633544,1.10561983757,0.411436664259,0.353571428571
2015-09-16 07:12:17.400,3.93,-87.0805640291,19.0310324948,1.2484219238,0.31315770768,0.54353640416
2015-09-16 07:12:21.330,6.04,-94.9084351273,9.33802939084,1.32712465248,0.182124715767,0.68723820162
2015-09-16 07:12:27.370,4.02,-91.9064301604,10.4710603425,1.1539806774,0.338657430155,0.316232356135
2015-09-16 07:12:31.390,3.93,-99.0458704446,15.6189122933,1.47132254739,0.278476146038,0.671559633028
2015-09-16 07:12:35.320,4.02,-81.7203872338,24.8386406762,1.34316332898,0.336668532879,0.723216536426
2015-09-16 07:12:39.340,4.03,-98.259825481,24.0302934081,1.4699324189,0.311209664451,0.941983630236
2015-09-16 07:12:43.370,4.02,-97.079555986,16.9233907424,1.23647137068,0.369127116986,0.569665321624
2015-09-16 07:12:47.390,3.93,-95.8265397552,15.5179274944,1.17244368594,0.302828450239,0.652011225444
2015-09-16 07:12:51.320,4.03,-91.7156013001,12.4065143733,1.3302805406,0.340945223721,0.726154560223
2015-09-16 07:12:55.350,4.02,-90.8368753097,13.8173653094,1.36967120479,0.285818891146,0.875437368789
2015-09-16 07:12:59.370,4.02,-91.7616528102,12.3763065662,1.35264823686,0.203444767947,0.783541617543
2015-09-16 07:13:03.390,5.61,-91.0067106376,12.0406058296,1.37958254619,0.19866215354,0.879538350565
2015-09-16 07:13:09.000,3.86,-90.9951318022,17.1488102597,1.40473224956,0.199952659829,0.772898368883
2015-09-16 07:13:12.860,3.93,-95.4865342305,10.0801759757,1.40831428023,0.275591129565,0.72132006286
2015-09-16 07:13:16.790,4.02,-96.4548475089,11.2986392442,1.29128878389,0.338043769201,0.747993579454
2015-09-16 07:13:20.810,3.86,-93.5326098376,13.0456584375,1.43890702045,0.318096215243,0.714519204576
2015-09-16 07:13:24.670,3.94,-81.4342233371,12.7204728477,1.50514012061,0.306634824288,0.539473684211
2015-09-16 07:13:28.610,3.85,-90.0797628544,15.170992394,1.30752674945,0.306826969246,0.840859630033
2015-09-16 07:13:32.460,3.94,-98.2814587395,12.7060268201,1.34115848444,0.340416619015,0.632162162162
2015-09-16 07:13:36.400,3.94,-88.3212859508,14.2910878021,1.3036815043,0.342919439229,0.653451995685
2015-09-16 07:13:40.340,4.02,-88.2757536092,13.2947285335,1.30562165483,0.314914616779,0.700914470145
2015-09-16 07:13:44.360,5.61,-90.906488506,14.2597763097,1.46849678162,0.207103701199,0.884726984964
2015-09-16 07:13:49.970,4.36,-91.6771828482,13.1011941288,1.39785458189,0.35914010411,0.693166710981
2015-09-16 07:13:54.330,4.02,-103.66158722,8.47467049494,1.36218747096,0.186068205098,0.373772232546
2015-09-16 07:13:58.350,4.02,-86.379012137,24.7966805297,1.21932682113,0.298902496177,0.677359978964
2015-09-16 07:14:02.370,4.02,-95.9749270519,20.0455376617,1.31139684079,0.327930491955,0.618594823032
2015-09-16 07:14:06.390,4.19,-91.6888027993,19.9191986643,1.36372616297,0.346468769565,0.629100529101
2015-09-16 07:14:10.580,3.85,-97.9511122229,15.3592331057,1.38378886433,0.322336871903,0.550305282718
2015-09-16 07:14:14.430,3.94,-101.085668079,21.3389693016,1.21858083657,0.283276671686,0.522097976571
2015-09-16 07:14:18.370,4.02,-84.9230792486,11.1480246911,1.3730339743,0.31471015209,0.597423951768
