,_frac_optflow_ok,_frac_optflow_ok_ica,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:19:37.390,,,1952.37133131,690.941478125,4.29,1.5
2015-09-16 07:19:41.410,,,2168.47465086,767.420475756,4.29,1.5
2015-09-16 07:19:45.350,,,2175.98055102,770.076281763,4.29,1.5
2015-09-16 07:19:49.460,,,2322.92329368,822.079002108,4.29,1.5
2015-09-16 07:19:53.480,,,2321.98498334,821.746344006,4.29,1.5
2015-09-16 07:19:57.000,,,2339.16803112,827.82693138,4.29,1.5
2015-09-16 07:20:01.440,,,2201.64720635,779.158383891,4.29,1.5
2015-09-16 07:20:07.380,,,2169.60521156,767.819058658,4.29,1.5
2015-09-16 07:20:11.490,,,2318.56556611,820.536252532,4.29,1.5
2015-09-16 07:20:15.510,,,2132.1223005,754.554275908,4.29,1.5
2015-09-16 07:20:19.450,,,2155.03668863,762.664319246,4.29,1.5
2015-09-16 07:20:23.470,,,2172.93018336,768.997047781,4.29,1.5
2015-09-16 07:20:27.490,,,2057.14110386,728.019669961,4.29,1.5
2015-09-16 07:20:31.430,,,2099.10862195,742.871617463,4.29,1.5
2015-09-16 07:20:35.370,,,2002.34920977,708.628080523,4.29,1.5
2015-09-16 07:20:39.390,,,1913.49501387,677.182693176,4.29,1.5
2015-09-16 07:20:43.410,,,1929.11322398,682.710741805,4.29,1.5
2015-09-16 07:20:49.610,,,1977.27843356,699.757821312,4.29,1.5
2015-09-16 07:20:53.550,,,1929.8907963,682.987370412,4.29,1.5
2015-09-16 07:20:57.480,,,1958.46038156,693.09813539,4.29,1.5
2015-09-16 07:21:01.500,,,1880.83392465,665.625856341,4.29,1.5
2015-09-16 07:21:05.440,,,1789.75370112,633.392718938,4.29,1.5
2015-09-16 07:21:09.380,,,1724.47438139,610.29109814,4.29,1.5
2015-09-16 07:21:13.400,,,1728.06123636,611.560785229,4.29,1.5
