,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_del_t,_pyrlevel,_significance,_fit_success
2015-09-16 07:11:24.360,-58.1461603632,7.45755331129,1.03514936413,0.300715971251,4.03,1,0.473142489546,1
2015-09-16 07:11:28.390,-59.3923806383,17.3020074762,0.932006633499,0.329307470864,4.02,1,0.46685340803,1
2015-09-16 07:11:32.410,-63.0046640402,16.468142906,0.915782704696,0.299255916582,3.94,1,0.539788199697,1
2015-09-16 07:11:36.350,-65.601749035,17.8634688267,0.974783070128,0.309932882583,4.02,1,0.603141045002,1
2015-09-16 07:11:40.370,-61.5580345627,16.0431360549,0.836767914131,0.185016385418,5.53,1,0.725153374233,1
2015-09-16 07:11:45.900,-61.4265956605,15.8089671475,0.827758100485,0.281109174571,3.85,1,0.467128027682,1
2015-09-16 07:11:49.750,-68.6343642309,15.7195403878,0.864379264803,0.32063603108,3.85,1,0.598984771574,1
2015-09-16 07:11:53.600,-66.8050601271,17.3929563816,0.789444361363,0.25153961703,3.86,1,0.555485696322,1
2015-09-16 07:11:57.460,-62.2735647431,10.353802726,0.837300713935,0.211687675062,3.93,1,0.419878942338,1
2015-09-16 07:12:01.390,-62.3444089827,9.86180534856,0.840307312389,0.248277693385,3.94,1,0.442326332795,1
2015-09-16 07:12:05.330,-64.3136218255,8.20959509003,0.760088446656,0.204447500055,4.02,1,0.445229681979,1
2015-09-16 07:12:09.350,-58.5890454046,10.0410372161,0.840629969536,0.221143774631,4.02,1,0.509150326797,1
2015-09-16 07:12:13.370,-65.2772123339,11.3384931929,0.895129992071,0.264468663355,4.03,1,0.513450680837,1
2015-09-16 07:12:17.400,-66.3795658849,11.3785979338,0.841065959684,0.279693937638,3.93,1,0.557968593385,1
2015-09-16 07:12:21.330,-59.9962782206,12.0017052784,0.917317234198,0.160192119299,6.04,1,0.628552971576,1
2015-09-16 07:12:27.370,-62.020665097,16.2521603976,0.879845147254,0.280961962088,4.02,1,0.601935483871,1
2015-09-16 07:12:31.390,-63.8351304429,14.830992504,0.815938991822,0.21181263588,3.93,1,0.648666023787,1
2015-09-16 07:12:35.320,-62.7085543657,12.600895035,0.88768983073,0.269376983788,4.02,1,0.655622809812,1
2015-09-16 07:12:39.340,-53.8822398638,11.8456476914,0.967582653255,0.232160420742,4.03,1,0.662112932605,1
2015-09-16 07:12:43.370,-58.0711105227,12.2345526267,0.876245780743,0.227086311929,4.02,1,0.549955791335,1
2015-09-16 07:12:47.390,-62.1078574502,12.0736045342,0.924384753232,0.278144746576,3.93,1,0.577089962395,1
2015-09-16 07:12:51.320,-59.0598766843,12.3855225638,0.873938681024,0.209585952906,4.03,1,0.60270498732,1
2015-09-16 07:12:55.350,-63.1198697317,17.1035109651,0.935364715556,0.254306867832,4.02,1,0.636869952659,1
2015-09-16 07:12:59.370,-61.2982517322,16.932990333,1.00218029985,0.311420283241,4.02,1,0.658129175947,1
2015-09-16 07:13:03.390,-50.2820231714,12.5220063013,1.00017381679,0.154017137487,5.61,1,0.688096574958,1
2015-09-16 07:13:09.000,-57.0037435688,12.4172293184,1.00799621363,0.269759100818,3.86,1,0.601503759398,1
2015-09-16 07:13:12.860,-51.1959821781,9.54171171856,1.02840287762,0.225625114192,3.93,1,0.568975725281,1
2015-09-16 07:13:16.790,-57.7721545188,19.9842329856,0.94831857311,0.285971528135,4.02,1,0.58247734139,1
2015-09-16 07:13:20.810,-56.1875348758,15.9289137737,0.839890386905,0.256416119164,3.86,1,0.481458590853,1
2015-09-16 07:13:24.670,-56.2197653721,12.9824052461,0.941574301917,0.275510841682,3.94,1,0.526266121422,1
2015-09-16 07:13:28.610,-52.8701987319,14.1777041607,0.874335847693,0.237467851936,3.85,1,0.530798240101,1
2015-09-16 07:13:32.460,-54.7545025803,17.5304499784,0.888895546748,0.270050239969,3.94,1,0.559609940233,1
2015-09-16 07:13:36.400,-56.3322717813,16.5800465693,0.850718603695,0.262083500467,3.94,1,0.565244667503,1
2015-09-16 07:13:40.340,-51.1189194248,20.9971897531,1.00478232655,0.340032482562,4.02,1,0.659600997506,1
2015-09-16 07:13:44.360,-55.8767617513,10.6326598545,0.959681594871,0.205927957076,5.61,1,0.701617921593,1
2015-09-16 07:13:49.970,-56.2259545292,13.8058037596,0.850080093199,0.265921676549,4.36,1,0.527932960894,1
2015-09-16 07:13:54.330,-60.8573807256,16.2345074502,0.855524385879,0.244796609628,4.02,1,0.555108359133,1
2015-09-16 07:13:58.350,-51.3701038024,9.29782331116,0.957828412795,0.20855148665,4.02,1,0.493655215104,1
2015-09-16 07:14:02.370,-53.7414924927,8.11713976595,1.07418851522,0.388827615205,4.02,1,0.504037267081,1
2015-09-16 07:14:06.390,-51.6056343244,15.1713336076,0.920929749922,0.190090769579,4.19,1,0.576260569997,1
2015-09-16 07:14:10.580,-60.362030197,16.6276808681,0.933756457787,0.234063182517,3.85,1,0.556917123509,1
2015-09-16 07:14:14.430,-62.0799099066,9.73226770107,0.849507315617,0.218891768508,3.94,1,0.528295714753,1
2015-09-16 07:14:18.370,-56.80661338,7.44233310192,0.95769555797,0.242826834351,4.02,1,0.52780586451,1
2015-09-16 07:14:22.390,-62.4061963012,12.7485687957,1.03029613061,0.281015603625,3.94,1,0.682636887608,1
2015-09-16 07:14:26.330,-66.176203421,9.79050456911,1.02583880947,0.130981840942,6.11,1,0.689822855158,1
2015-09-16 07:14:32.440,-64.2716707621,13.1425415296,0.949505744056,0.254846781529,3.94,1,0.65472088215,1
2015-09-16 07:14:36.380,-65.9348854042,7.18776223028,1.06035244339,0.215858919733,4.02,1,0.557678943711,1
2015-09-16 07:14:40.400,-61.5558079034,8.10213446805,1.06199010652,0.239501254302,3.94,1,0.58747447243,1
2015-09-16 07:14:44.340,-61.8003819873,7.75636970458,1.14861581845,0.213287294267,4.02,1,0.568073519401,1
2015-09-16 07:14:48.360,-65.9952390807,11.5802839767,1.05019484968,0.225784743846,4.02,1,0.627256637168,1
2015-09-16 07:14:52.380,-61.8987949878,12.5879697681,0.92846701787,0.208725855221,3.94,1,0.587995553909,1
2015-09-16 07:14:56.320,-65.4713004832,8.15790382442,1.16902938257,0.265701225564,4.02,1,0.6166344294,1
2015-09-16 07:15:00.340,-55.2215324819,10.5692702862,1.00726644763,0.284380926768,4.02,1,0.51971885982,1
2015-09-16 07:15:04.360,-58.3693973104,10.3753979929,1.09717370594,0.283914963931,4.02,1,0.557753164557,1
2015-09-16 07:15:08.380,-62.6655573887,14.2137953234,1.10025849159,0.230915565964,5.95,1,0.67873651772,1
2015-09-16 07:15:14.330,-55.7656039141,11.5481069692,1.15424455012,0.387437966501,4.02,1,0.600151457781,1
2015-09-16 07:15:18.350,-54.2795226735,11.1896907253,1.13866440434,0.292514706941,4.03,1,0.696868008949,1
2015-09-16 07:15:22.380,-60.9235857447,13.9560400213,1.26042570884,0.352529667511,4.02,1,0.661067562523,1
2015-09-16 07:15:26.400,-52.824937927,11.9727200152,1.16562273505,0.352521215126,3.93,1,0.529136690647,1
2015-09-16 07:15:30.330,-57.1605998455,11.1264522483,1.2214913189,0.361776868569,4.03,1,0.457956914524,1
2015-09-16 07:15:34.360,-47.2386759747,11.70574459,1.15715248978,0.305591029116,4.02,1,0.65,1
2015-09-16 07:15:38.380,-51.9617761301,17.6419044342,1.19867694495,0.334161750273,4.02,1,0.662037037037,1
2015-09-16 07:15:42.400,-51.8452133662,13.6454230195,1.080582755,0.376231929408,3.94,1,0.608709574127,1
2015-09-16 07:15:46.340,-50.2544881629,14.5466982533,1.14316060149,0.34259588928,4.02,1,0.449353108236,1
2015-09-16 07:15:50.360,-60.7854935859,19.2747054439,0.946109381101,0.220191683434,5.61,1,0.640037301834,1
2015-09-16 07:15:55.970,-61.1780579201,9.80246755851,0.776196983094,0.218230991551,3.77,1,0.153488372093,1
2015-09-16 07:15:59.740,-51.6115825889,19.1036513664,1.09095088453,0.362625371667,3.77,1,0.541358024691,1
2015-09-16 07:16:03.510,-50.6825825175,19.8946256667,1.05490415519,0.357562877951,3.94,1,0.669249845009,1
2015-09-16 07:16:07.450,-55.6863966555,17.8471957041,1.00857830988,0.269787391358,3.93,1,0.409318323952,1
2015-09-16 07:16:11.380,-45.915144293,16.2283454,1.12679856513,0.300253672297,4.03,1,0.532594936709,1
2015-09-16 07:16:15.410,-41.5037475379,14.3416239699,1.06066274507,0.306181765722,3.93,1,0.607538802661,1
2015-09-16 07:16:19.340,-39.9057378203,17.8516132677,1.13778148223,0.370381332918,4.03,1,0.614389397286,1
2015-09-16 07:16:23.370,-44.8177864722,17.6625250768,1.100721688,0.357655768557,4.02,1,0.558675078864,1
2015-09-16 07:16:27.390,-48.1656292121,19.969928517,0.993541661369,0.285655703968,4.02,1,0.551346274264,1
2015-09-16 07:16:31.410,-46.6586178752,16.8229767251,1.00395458604,0.240453148457,6.03,1,0.682941903585,1
2015-09-16 07:16:37.440,-59.0400516614,12.3610320509,1.0512511419,0.272187106711,3.94,1,0.493138151876,1
2015-09-16 07:16:41.380,-55.2169227849,11.8806220703,1.11243645162,0.354657424876,4.02,1,0.434808434808,1
2015-09-16 07:16:45.400,-50.6246254259,14.416790926,1.15972002907,0.411289040511,3.94,1,0.57790119848,1
2015-09-16 07:16:49.340,-44.7409355017,15.2347674983,1.16752006391,0.243131089834,4.02,1,0.628800917958,1
2015-09-16 07:16:53.360,-50.3203313141,13.9329398718,1.04329100765,0.285082192784,4.02,1,0.495167708926,1
2015-09-16 07:16:57.380,-47.7393752711,8.93557128091,0.994645674069,0.267925420278,4.02,1,0.370621468927,1
2015-09-16 07:17:01.400,-42.0016792683,17.383796777,1.00342013612,0.298411173563,3.94,1,0.500140173816,1
2015-09-16 07:17:05.340,-56.4241744948,10.3312514675,0.971642857905,0.300341389713,4.02,1,0.389910813824,1
2015-09-16 07:17:09.360,-54.4621346375,11.12019147,0.973351886516,0.299308272412,4.02,1,0.499168975069,1
2015-09-16 07:17:13.380,-53.9870915402,10.2647731313,0.960909714856,0.190804672602,6.2,1,0.714285714286,1
