,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:15:04.360,2684.52565739,1207.1969933,4.14,0.828
2015-09-16 07:15:08.380,2598.74892174,1180.2072746,4.14,0.828
2015-09-16 07:15:14.330,2346.2946031,1119.20415024,4.14,0.828
2015-09-16 07:15:18.350,2338.92135952,1133.01041121,4.14,0.828
2015-09-16 07:15:22.380,2505.77871733,1157.38193689,4.14,0.828
2015-09-16 07:15:26.400,2384.99862362,1136.99973207,4.14,0.828
2015-09-16 07:15:30.330,2373.2330614,1121.51082985,4.14,0.828
2015-09-16 07:15:34.360,2283.6872202,1089.53483845,4.14,0.828
2015-09-16 07:15:38.380,2156.79203059,1015.75333873,4.14,0.828
2015-09-16 07:15:42.400,2250.8930287,1014.74121225,4.14,0.828
2015-09-16 07:15:46.340,2272.66537418,1026.29083655,4.14,0.828
2015-09-16 07:15:50.360,2315.76725729,1049.2926621,4.14,0.828
2015-09-16 07:15:55.970,2516.48476471,1077.82021088,4.14,0.828
2015-09-16 07:15:59.740,2523.15019878,1101.97403886,4.14,0.828
2015-09-16 07:16:03.510,2645.03215041,1146.67179757,4.14,0.828
2015-09-16 07:16:07.450,2747.52879695,1170.73579761,4.14,0.828
2015-09-16 07:16:11.380,2851.13867935,1209.01851551,4.14,0.828
2015-09-16 07:16:15.410,3021.49835252,1253.98795258,4.14,0.828
2015-09-16 07:16:19.340,3089.23087358,1260.8743173,4.14,0.828
2015-09-16 07:16:23.370,3153.67706886,1276.73938736,4.14,0.828
2015-09-16 07:16:27.390,3304.53783565,1297.16167395,4.14,0.828
2015-09-16 07:16:31.410,3335.81190241,1309.61345403,4.14,0.828
2015-09-16 07:16:37.440,3341.72272188,1310.27462453,4.14,0.828
2015-09-16 07:16:41.380,3299.89995367,1319.54743558,4.14,0.828
2015-09-16 07:16:45.400,3308.95919316,1311.33304276,4.14,0.828
2015-09-16 07:16:49.340,3037.35608706,1250.94939719,4.14,0.828
2015-09-16 07:16:53.360,3042.43227429,1232.97688355,4.14,0.828
2015-09-16 07:16:57.380,2982.4760251,1231.46856794,4.14,0.828
2015-09-16 07:17:01.400,3079.02233263,1255.2050914,4.14,0.828
2015-09-16 07:17:05.340,2992.99215301,1241.81854812,4.14,0.828
2015-09-16 07:17:09.360,2840.13486008,1217.33758773,4.14,0.828
2015-09-16 07:17:13.380,3061.25420052,1267.2912331,4.14,0.828
2015-09-16 07:17:19.580,3233.51224922,1321.89416079,4.14,0.828
2015-09-16 07:17:23.520,3118.12321678,1328.95586445,4.14,0.828
